"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1035644","Child Caring-Placing Agency","A Family Journey","3445 Girard Ave S","","","Minneapolis","MN","55408     ","Hennepin","(612) 501-5436","Active","A Family Journey","   ","Adoption Services","None","Child Caring-Placing Agency","Department of Children, Youth, and Families","08/25/2005","01/01/2026","12/31/2026","   ","",
"1105803","Home and Community Based Services","AAMIN HOME CARE LLC","320 W LAKE ST # 217","","","Minneapolis","MN","55408-3025","Hennepin","(952) 649-0659","Active","AAMIN HOME CARE LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","01/01/2021","01/01/2026","12/31/2026","   ","",
"2001653","Child Care Center","Abyan Childcare Center LLC","3416 Nicollet Ave","","","Minneapolis","MN","55408     ","Hennepin","(612) 200-8631","Active","Abyan Childcare Center LLC","74 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","09/30/2025","11/19/2025","12/31/2026","   ","",
"1094195","Home and Community Based Services","Advanced Health Homecare","115 E LAKE ST STE 201","","","Minneapolis","MN","55408-3368","Hennepin","(408) 464-3761","Active","Advanced Health Homecare LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","05/22/2018","01/01/2026","12/31/2026","   ","",
"1104785","Home and Community Based Services","Advantage Care Homes","3430 NICOLLET AVE STE 102","","","Minneapolis","MN","55408-4552","Hennepin","(763) 600-2320","Active","Advantage Care Homes Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Crisis respite, in-home or out-of-home  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","05/08/2020","01/01/2026","12/31/2026","   ","",
"1118595","Home and Community Based Services - Community Residential Setting","Affinity Residential Care LLC","3552 CLINTON AVE","","","Minneapolis","MN","55408-4548","Hennepin","(612) 827-4383","Active","Affinity Residential Care LLC","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1106824; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","04/06/2023","04/01/2024","03/31/2026","No ","",
"1072704","Home and Community Based Services - Community Residential Setting","AGAPE DOS","3100 Harriet Ave South","","","Minneapolis","MN","55408-2907","Hennepin","(612) 825-2003","Active","Clare Housing, Inc.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1072701; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","11/01/2024","10/31/2026","No ","",
"1091969","Home and Community Based Services","Alamagan Home Care LLC","207 E LAKE ST STE 108","","","Minneapolis","MN","55408-2474","Hennepin","(612) 315-5652","Active","Alamagan Home Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports; Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/09/2018","01/01/2025","12/31/2025","   ","alamaganhomecare1@gmail.com",
"1112977","Home and Community Based Services","ALISAM CARE LLC","322 W LAKE ST STE 207","","","Minneapolis","MN","55408-5202","Hennepin","(612) 448-6053","Active","ALISAM CARE LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/10/2023","01/01/2026","12/31/2026","   ","",
"1114847","Home and Community Based Services","Alp Home Health Care Inc","2833 LYNDALE AVE S APT 514","","","Minneapolis","MN","55408-4670","Hennepin","(612) 513-6926","Active","Alp Home Health Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/31/2025","01/01/2026","12/31/2026","   ","Alphomeheathcareinc@gmail.com",
