"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1123395","Intensive Residential Treatment Services and Residential Crisis Stabilization","AbundantLife Residence LLC","1014 18TH AVE SE","","","Minneapolis","MN","55414-2549","Hennepin","(612) 220-4454","Active","AbundantLife Residence LLC","6  ","Intensive Residential Treatment Services capacity: 6   persons, age: 18 through 70, gender: Male","None","Intensive Residential Treatment Services and Residential Crisis Stabilization","Minnesota Department of Human Services","07/12/2024","01/01/2026","12/31/2026","   ","",
"1108983","Substance Use Disorder Treatment","Alliance Clinic LLC dba BHG Minneapolis Treatment Center","3329 UNIVERSITY AVE SE","","","Minneapolis","MN","55414-3325","Hennepin","(612) 454-2260","Active","Alliance Clinic LLC","   "," Non-Residential Treatment - ages 18 and older; Gender: Either; Satellite Location(s):","None","Specializing in: Medication Assisted Treatment; the Treatment of Persons with a Substance Use and Mental Health Disorder; Approved Rate Enhancements: ","Minnesota Department of Human Services","07/08/2021","01/01/2026","12/31/2026","   ","",
"1095397","Home and Community Based Services","Best Care","3008 UNIVERSITY AVE SE","","","Minneapolis","MN","55414-3316","Hennepin","(612) 378-1040","Active","Best Care Home Health","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","08/01/2018","01/01/2026","12/31/2026","   ","Nkhatoon@bestcareus.com",
"1113114","Home and Community Based Services","Big Hearts Home Care Inc","1130 14TH AVE SE","","","Minneapolis","MN","55414-2352","Hennepin","(651) 494-7653","Active","Big Hearts Home Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/10/2023","01/01/2026","12/31/2026","   ","",
"1080450","Child Care Center","Bright Minds Child Care Inc","950 E Hennepin Ave","","","Minneapolis","MN","55414-1314","Hennepin","(612) 800-1961","Active","Bright Minds Child Care Center Inc.","96 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/22/2016","01/01/2026","12/31/2026","   ","",
"1098440","Home and Community Based Services","Caring Home Health Care LLC","2828 UNIVERSITY AVE SE STE 200","","","Minneapolis","MN","55414-3260","Hennepin","(612) 423-1060","Active","Caring Home Health Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/18/2019","01/01/2026","12/31/2026","   ","",
"1107908","Home and Community Based Services","Client Centered HCBS LLC","312 CENTRAL AVE SE STE 478","","","Minneapolis","MN","55414-1060","Hennepin","(612) 501-3872","Active","Client Centered HCBS LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","05/04/2021","01/01/2026","12/31/2026","   ","clientcenteredhcbs@gmail.com",
"1114543","Home and Community Based Services","Comforting Care LLC","2447 COLE AVE SE","","","Minneapolis","MN","55414-2600","Hennepin","(612) 913-2526","Denied as of 04/30/2025","Comforting Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports    ","None","","Minnesota Department of Human Services","","","","   ","",
"800543","Child Care Center","Como Early Learning Center","1024 27th Ave SE","","","Minneapolis","MN","55414-2702","Hennepin","(612) 331-8340","Active","Como Early Learning Center","50 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/22/1975","01/01/2026","12/31/2026","   ","",
"1075463","Home and Community Based Services","Cosmopolitan & Associates Inc","2828 UNIVERSITY AVE SE STE 101","","","Minneapolis","MN","55414-3590","Hennepin","(612) 822-3830","Active","Cosmopolitan & Associates Inc","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","09/02/2014","01/01/2026","12/31/2026","   ","",
"1120640","Home and Community Based Services - Community Residential Setting","Dungarvin Minnesota LLC","2101 FRANKLIN AVE SE UNIT 2","","","Minneapolis","MN","55414-3635","Hennepin","(612) 274-7925","Active","Dungarvin Minnesota LLC","1  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1070806; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","09/01/2023","09/01/2024","08/31/2026","No ","",
"1120667","Home and Community Based Services - Community Residential Setting","Dungarvin Minnesota LLC","2101 FRANKLIN AVE SE UNIT 1","","","Minneapolis","MN","55414-3635","Hennepin","(612) 315-3423","Active","Dungarvin Minnesota LLC","1  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1070806; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","09/01/2023","09/01/2024","08/31/2026","No ","",
"1110219","Home and Community Based Services","Evergreen Health Services","2920 TALMAGE AVE SE STE 240","","","Minneapolis","MN","55414-7501","Hennepin","(651) 269-9346","Active","Evergreen Health Services","   ","Basic Support Services: 24-hour emergency assistance; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","03/25/2022","01/01/2026","12/31/2026","   ","",
"800782","Child Caring-Placing Agency","Family Alternatives","1089 10TH AVE SE","","","Minneapolis","MN","55414-1312","Hennepin","(612) 379-5341","Active","Family Alternatives","   ","Foster Care Services","None","Child Caring-Placing Agency","Department of Children, Youth, and Families","07/01/1979","01/01/2026","12/31/2026","   ","info@familyalternatives.org",
"1056907","Child Care Center","First Step Early Childhood Education Center","3036 University Ave SE","","","Minneapolis","MN","55414-3316","Hennepin","(612) 617-0191","Active","FamilyWise Services","38 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","05/19/2010","01/01/2026","12/31/2026","   ","",
"807530","Mental Health Clinic","Fraser Minneapolis","3333 University Ave SE","","","Minneapolis","MN","55414     ","Hennepin","(612) 331-9413","Active","Fraser Child and Family Center","   ","Satellite Location(s): Fraser - Ramsey Headstart, 450 Syndicate St, Saint Paul, MN  55104; Fraser at 1317 Charles Ave Bldg, 1317 CHARLES AVE, Saint Paul, MN  55104; Fraser at Anoka Washington Head Start, 9574 Foley Blvd, Coon Rapids, MN  55433; Fraser at Concord Elementary School, 5900 Concord Ave, Edina, MN  55424; Fraser at Cornelia Elementary School, 7000 Cornelia Dr, Edina, MN  55435; Fraser at Countryside Elementary School, 5701 Benton Ave S, Edina, MN  55439; Fraser at Creek Valley Elementary School, 6401 Gleason Rd, Edina, MN  55439; Fraser at ECSE, 5701 Normandale Rd, Edina, MN  55424; Fraser at Edina Concord School, 5900 Concord Ave S, Edina, MN  55424; Fraser at Edina Cornelia School, 7000 Cornelia Dr, Edina, MN  55432; Fraser at Edina High School, 6754 VALLEY VIEW RD, Edina, MN  55439; Fraser at Edina Highlands School, 5505 Doncaster Way, Edina, MN  55436; Fraser at Edina Normandale School, 5701 Normandale Rd, Edina, MN  55424; Fraser at Edina South View School, 4725 S VIEW ","","Mental Health Clinic","Minnesota Department of Human Services","04/17/1994","01/01/2026","12/31/2026","   ","",
"809652","Child Care Center","Glendale Early Childhood Family Development Center","96 Saint Marys Ave SE","","","Minneapolis","MN","55414-3459","Hennepin","(612) 874-7422","Active","Parents in Community Action, Inc.","88 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/02/1995","01/01/2026","12/31/2026","   ","",
